player_name,win_rate,aces,double_faults,total_points_won,total_won_on_return,IA,IE,ID,cluster
,0.4,0.04,0.0,45.52,36.56,0.016,0.0,36.56,0
??lvaro M??lendez Amaya,0.5,0.0,0.0,47.5,37.5,0.0,0.0,37.5,3
??lvaro Melendez Amaya,0.21739130434782608,0.0,0.0,46.34782608695652,35.08695652173913,0.0,0.0,35.08695652173913,3
Abdulaziz Redha,0.0,0.0,0.5,29.0,23.0,0.0,0.016666666666666666,23.0,2
Abdulla Alhijji,0.0,0.0,0.25,30.5,20.25,0.0,0.007936507936507936,20.25,2
Abdullah Alabdullah,0.0,0.0,0.5,26.5,15.0,0.0,0.01818181818181818,15.0,2
Abdulrahman Alawadhi,0.0,0.0,0.0,33.0,22.0,0.0,0.0,22.0,3
Abdulrahman Alazzam,0.0,0.0,0.0,29.5,20.5,0.0,0.0,20.5,3
Adam Axelsson,0.5,0.0,0.0,50.1,37.5,0.0,0.0,37.5,3
Aday Santana,0.0,0.0,0.0,40.0,31.0,0.0,0.0,31.0,3
Adria Mercadal,0.2,0.0,0.0,46.8,37.6,0.0,0.0,37.6,3
Adrian Marques Berdonce,0.3333333333333333,0.0,0.0,48.166666666666664,34.75,0.0,0.0,34.75,3
Adrian Naranjo Martinez,0.0,0.0,0.0,49.0,38.0,0.0,0.0,38.0,3
Adrian Ronco Lopez,0.2,0.0,0.0,47.2,32.8,0.0,0.0,32.8,3
Afonso Fazendeiro,0.0,0.0,0.0,41.0,33.0,0.0,0.0,33.0,3
Agueda Perez Ortiz,0.28,0.02,0.12,45.54,38.88,0.005600000000000001,0.002578427159432746,38.88,1
Agust??n Torre,0.0,0.0,0.0,44.0,33.0,0.0,0.0,33.0,3
Agustin Gomez Silingo,0.16666666666666666,0.0,0.08333333333333333,42.166666666666664,30.083333333333332,0.0,0.0019305019305019305,30.083333333333332,2
Agustin Gutierrez,0.41935483870967744,0.0,0.016129032258064516,48.75806451612903,37.32258064516129,0.0,0.00032414910858995135,37.32258064516129,2
Agustin Reca,0.0,0.0,0.0,38.0,24.0,0.0,0.0,24.0,3
Agustin Tapia,0.9343434343434344,0.005050505050505051,0.020202020202020204,56.98989898989899,44.494949494949495,0.00471890623405775,0.0003483713638738896,44.494949494949495,0
Agustin Torre,0.375,0.0,0.0625,47.125,34.46875,0.0,0.0012987012987012987,34.46875,2
Aida Martinez,0.0,0.0,0.0,42.0,35.0,0.0,0.0,35.0,3
Aida Martinez Sanjuan,0.2,0.0,0.2,44.0,37.4,0.0,0.0044444444444444444,37.4,2
Aimar Go??i,0.5,0.0,0.14285714285714285,50.142857142857146,36.214285714285715,0.0,0.0027932960893854745,36.214285714285715,2
Ainara Pozuelo Dominguez,0.0,0.0,0.0,43.0,27.0,0.0,0.0,27.0,3
Aitana Garcia Roman,0.0,0.0,1.0,45.0,45.0,0.0,0.021739130434782608,45.0,2
Aitor Garcia,0.1111111111111111,0.0,0.2222222222222222,44.888888888888886,31.22222222222222,0.0,0.004842615012106538,31.22222222222222,2
Alanoud Yamani,0.0,0.0,0.0,21.5,14.0,0.0,0.0,14.0,3
Alba Gallardo Salvado,0.25,0.08333333333333333,0.08333333333333333,43.416666666666664,34.333333333333336,0.020833333333333332,0.001876172607879925,34.333333333333336,0
Alba Perez Momha,0.25,0.0,0.0,44.625,37.875,0.0,0.0,37.875,3
Albert Roglan Pons,0.0,0.0,0.0,40.0,25.0,0.0,0.0,25.0,3
